ID,code,start,end,01 - Location third,02 - Location flank,03 - End location third,04 - End location flank,05 - Length,06 - Number of team events,07 - Outcome,09 - xG,11 - Start location X,12 - Start location Y,13 - Duration,14 - Formation,15 - End location X,16 - End location Y,10 - Players,08 - Transition
783,Southampton - Open play attacks,5500.24941,5502.541951,Final third,Center,Final third,Center,Short,4 or less,,,78,34,2,5-4-1,15,35,"18. Mateus Fernandes, 19. Archer, 8. Smallbone",High
784,Ball in play,5502.531951,5505.282093,Own third,Center,Middle third,Right flank,Short,4 or less,,,15,35,1,4-4-2,56,20,15. Kiwior,Low
785,Arsenal - Possessions,5502.531951,5505.282093,Own third,Center,Middle third,Right flank,Short,4 or less,,,15,35,1,4-4-2,56,20,15. Kiwior,Low
786,Ball in play,5505.272093,5517.392958,Middle third,Left flank,Final third,Center,Medium,5-9,,,56,20,11,5-4-1,100,28,"21. Taylor, 4. Downes, 39. Sanda, 16. Sugawara, 32. Onuachu",
787,Southampton - Possessions,5505.272093,5517.392958,Middle third,Left flank,Final third,Center,Medium,5-9,,,56,20,11,5-4-1,100,28,"21. Taylor, 4. Downes, 39. Sanda, 16. Sugawara, 32. Onuachu",
788,Southampton - Crosses,5505.272093,5517.392958,Middle third,Left flank,Final third,Center,Medium,5-9,,,56,20,11,5-4-1,100,28,"21. Taylor, 4. Downes, 39. Sanda, 16. Sugawara, 32. Onuachu",
789,Ball in play,5553.607101,5555.266452,Own third,Center,Middle third,Right flank,Short,4 or less,,,4,39,2,4-4-2,41,14,,
790,Arsenal - Possessions,5553.607101,5555.266452,Own third,Center,Middle third,Right flank,Short,4 or less,,,4,39,2,4-4-2,41,14,,
791,Ball in play,5555.256452,5559.419741,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,41,14,2,5-4-1,39,0,34. Welington,
792,Southampton - Possessions,5555.256452,5559.419741,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,41,14,2,5-4-1,39,0,34. Welington,
793,Ball in play,5570.641917,5573.386427,Middle third,Right flank,Final third,Right flank,Short,4 or less,,,65,68,1,4-4-2,17,11,4. White,
794,Arsenal - Possessions,5570.641917,5573.386427,Middle third,Right flank,Final third,Right flank,Short,4 or less,,,65,68,1,4-4-2,17,11,4. White,
795,Arsenal - Set Pieces,5570.641917,5573.386427,Middle third,Right flank,Final third,Right flank,Short,4 or less,,,65,68,1,4-4-2,17,11,4. White,
796,Arsenal - Throw ins,5570.641917,5573.386427,Middle third,Right flank,Final third,Right flank,Short,4 or less,,,65,68,1,4-4-2,17,11,4. White,
797,Ball in play,5573.376427,5576.584971,Own third,Left flank,Own third,Left flank,Short,4 or less,,,17,11,2,5-4-1,86,57,"15. Wood, 19. Archer",Low
798,Southampton - Possessions,5573.376427,5576.584971,Own third,Left flank,Own third,Left flank,Short,4 or less,,,17,11,2,5-4-1,86,57,"15. Wood, 19. Archer",Low
799,Ball in play,5576.574971,5577.600369,Final third,Right flank,Final third,Center,Short,4 or less,,,86,57,1,4-4-2,25,24,29. Havertz,High
800,Arsenal - Possessions,5576.574971,5577.600369,Final third,Right flank,Final third,Center,Short,4 or less,,,86,57,1,4-4-2,25,24,29. Havertz,High
801,Arsenal - Open play attacks,5576.574971,5577.600369,Final third,Right flank,Final third,Center,Short,4 or less,,,86,57,1,4-4-2,25,24,29. Havertz,High
802,Ball in play,5577.590369,5584.331693,Own third,Center,Middle third,Left flank,Short,4 or less,,,25,24,6,5-4-1,66,50,"34. Welington, 16. Sugawara, 19. Archer, 8. Smallbone",Low
803,Southampton - Possessions,5577.590369,5584.331693,Own third,Center,Middle third,Left flank,Short,4 or less,,,25,24,6,5-4-1,66,50,"34. Welington, 16. Sugawara, 19. Archer, 8. Smallbone",Low
804,Ball in play,5584.321693,5589.906855,Middle third,Right flank,Final third,Center,Short,4 or less,,,66,50,5,4-4-2,5,27,"41. Rice, 29. Havertz, 7. Saka",Medium
805,Arsenal - Possessions,5584.321693,5589.906855,Middle third,Right flank,Final third,Center,Short,4 or less,,,66,50,5,4-4-2,5,27,"41. Rice, 29. Havertz, 7. Saka",Medium
806,Arsenal - Open play attacks,5584.321693,5589.906855,Middle third,Right flank,Final third,Center,Short,4 or less,,,66,50,5,4-4-2,5,27,"41. Rice, 29. Havertz, 7. Saka",Medium
807,Arsenal - Crosses,5584.321693,5589.906855,Middle third,Right flank,Final third,Center,Short,4 or less,,,66,50,5,4-4-2,5,27,"41. Rice, 29. Havertz, 7. Saka",Medium
808,Ball in play,5589.896855,5591.429128,Own third,Center,Own third,Center,Short,4 or less,,,5,27,1,5-4-1,99,35,21. Taylor,
809,Southampton - Possessions,5589.896855,5591.429128,Own third,Center,Own third,Center,Short,4 or less,,,5,27,1,5-4-1,99,35,21. Taylor,
810,Ball in play,5591.419128,5597.849631,Final third,Center,Final third,Center,Short,4 or less,Shot,less than 0.1,99,35,3,4-4-2,3,52,29. Havertz,
811,Arsenal - Possessions,5591.419128,5597.849631,Final third,Center,Final third,Center,Short,4 or less,Shot,less than 0.1,99,35,3,4-4-2,3,52,29. Havertz,
812,Arsenal - Highlights,5591.419128,5597.849631,Final third,Center,Final third,Center,Short,4 or less,Shot,less than 0.1,99,35,3,4-4-2,3,52,29. Havertz,
813,Arsenal - Open play attacks,5591.419128,5597.849631,Final third,Center,Final third,Center,Short,4 or less,Shot,less than 0.1,99,35,3,4-4-2,3,52,29. Havertz,
814,Arsenal - Shots,5591.419128,5597.849631,Final third,Center,Final third,Center,Short,4 or less,Shot,less than 0.1,99,35,3,4-4-2,3,52,29. Havertz,
815,Ball in play,5594.849631,5617.287642,Own third,Right flank,Middle third,Right flank,Medium,4 or less,,,3,52,19,5-4-1,38,10,30. Ramsdale,
816,Southampton - Possessions,5594.849631,5617.287642,Own third,Right flank,Middle third,Right flank,Medium,4 or less,,,3,52,19,5-4-1,38,10,30. Ramsdale,
817,Southampton - Goalkeeper distributions,5594.849631,5617.287642,Own third,Right flank,Middle third,Right flank,Medium,4 or less,,,3,52,19,5-4-1,38,10,30. Ramsdale,
818,Ball in play,5617.277642,5623.257051,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,38,10,3,4-4-2,63,56,49. Lewis-Skelly,
819,Arsenal - Possessions,5617.277642,5623.257051,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,38,10,3,4-4-2,63,56,49. Lewis-Skelly,
820,Ball in play,5755.36298,5760.858729,Middle third,Left flank,Final third,Left flank,Short,4 or less,,,42,12,4,4-4-2,22,68,"22. David Raya, 29. Havertz",
821,Arsenal - Possessions,5755.36298,5760.858729,Middle third,Left flank,Final third,Left flank,Short,4 or less,,,42,12,4,4-4-2,22,68,"22. David Raya, 29. Havertz",
822,Arsenal - Goalkeeper distributions,5755.36298,5760.858729,Middle third,Left flank,Final third,Left flank,Short,4 or less,,,42,12,4,4-4-2,22,68,"22. David Raya, 29. Havertz",
823,Ball in play,5794.311245,5805.071232,Own third,Right flank,Middle third,Right flank,Short,5-9,,,26,68,8,5-4-1,63,68,"16. Sugawara, 32. Onuachu, 19. Archer",
824,Southampton - Possessions,5794.311245,5805.071232,Own third,Right flank,Middle third,Right flank,Short,5-9,,,26,68,8,5-4-1,63,68,"16. Sugawara, 32. Onuachu, 19. Archer",
825,Southampton - Set Pieces,5794.311245,5805.071232,Own third,Right flank,Middle third,Right flank,Short,5-9,,,26,68,8,5-4-1,63,68,"16. Sugawara, 32. Onuachu, 19. Archer",
826,Southampton - Throw ins,5794.311245,5805.071232,Own third,Right flank,Middle third,Right flank,Short,5-9,,,26,68,8,5-4-1,63,68,"16. Sugawara, 32. Onuachu, 19. Archer",
827,Ball in play,5824.595545,5828.084138,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,47,0,2,4-4-2,38,48,"49. Lewis-Skelly, 29. Havertz",
828,Arsenal - Possessions,5824.595545,5828.084138,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,47,0,2,4-4-2,38,48,"49. Lewis-Skelly, 29. Havertz",
829,Arsenal - Set Pieces,5824.595545,5828.084138,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,47,0,2,4-4-2,38,48,"49. Lewis-Skelly, 29. Havertz",
830,Arsenal - Throw ins,5824.595545,5828.084138,Middle third,Left flank,Middle third,Left flank,Short,4 or less,,,47,0,2,4-4-2,38,48,"49. Lewis-Skelly, 29. Havertz",
831,Ball in play,5828.074138,5832.377579,Middle third,Right flank,Own third,Right flank,Short,4 or less,,,38,48,2,5-4-1,76,22,16. Sugawara,
832,Southampton - Possessions,5828.074138,5832.377579,Middle third,Right flank,Own third,Right flank,Short,4 or less,,,38,48,2,5-4-1,76,22,16. Sugawara,
833,Ball in play,5832.367579,5871.832314,Final third,Left flank,Final third,Center,Long,10-14,,,76,22,37,4-4-2,26,45,"8. Ødegaard, 7. Saka, 4. White, 5. Partey, 41. Rice, 22. David Raya, 49. Lewis-Skelly",High
834,Arsenal - Possessions,5832.367579,5871.832314,Final third,Left flank,Final third,Center,Long,10-14,,,76,22,37,4-4-2,26,45,"8. Ødegaard, 7. Saka, 4. White, 5. Partey, 41. Rice, 22. David Raya, 49. Lewis-Skelly",High
835,Arsenal - Open play attacks,5832.367579,5871.832314,Final third,Left flank,Final third,Center,Long,10-14,,,76,22,37,4-4-2,26,45,"8. Ødegaard, 7. Saka, 4. White, 5. Partey, 41. Rice, 22. David Raya, 49. Lewis-Skelly",High
836,Ball in play,5871.822314,5917.246055,Own third,Center,Final third,Center,Long,15 or more,,,26,45,44,5-4-1,3,28,"30. Ramsdale, 39. Sanda, 15. Wood, 4. Downes, 21. Taylor, 16. Sugawara, 8. Smallbone",Low
837,Southampton - Possessions,5871.822314,5917.246055,Own third,Center,Final third,Center,Long,15 or more,,,26,45,44,5-4-1,3,28,"30. Ramsdale, 39. Sanda, 15. Wood, 4. Downes, 21. Taylor, 16. Sugawara, 8. Smallbone",Low
838,Southampton - Open play attacks,5871.822314,5917.246055,Own third,Center,Final third,Center,Long,15 or more,,,26,45,44,5-4-1,3,28,"30. Ramsdale, 39. Sanda, 15. Wood, 4. Downes, 21. Taylor, 16. Sugawara, 8. Smallbone",Low
839,Southampton - Goalkeeper distributions,5871.822314,5917.246055,Own third,Center,Final third,Center,Long,15 or more,,,26,45,44,5-4-1,3,28,"30. Ramsdale, 39. Sanda, 15. Wood, 4. Downes, 21. Taylor, 16. Sugawara, 8. Smallbone",Low
840,Ball in play,5917.236055,5937.811116,Own third,Center,Middle third,Left flank,Medium,4 or less,,,3,28,18,4-4-2,42,56,"22. David Raya, 49. Lewis-Skelly",
841,Arsenal - Possessions,5917.236055,5937.811116,Own third,Center,Middle third,Left flank,Medium,4 or less,,,3,28,18,4-4-2,42,56,"22. David Raya, 49. Lewis-Skelly",
842,Arsenal - Goalkeeper distributions,5917.236055,5937.811116,Own third,Center,Middle third,Left flank,Medium,4 or less,,,3,28,18,4-4-2,42,56,"22. David Raya, 49. Lewis-Skelly",
843,Ball in play,5952.792452,5971.109045,Middle third,Left flank,Final third,Right flank,Medium,4 or less,,,59,11,16,4-4-2,22,10,"41. Rice, 19. Trossard, 15. Kiwior, 5. Partey",
844,Arsenal - Possessions,5952.792452,5971.109045,Middle third,Left flank,Final third,Right flank,Medium,4 or less,,,59,11,16,4-4-2,22,10,"41. Rice, 19. Trossard, 15. Kiwior, 5. Partey",
845,Arsenal - Open play attacks,5952.792452,5971.109045,Middle third,Left flank,Final third,Right flank,Medium,4 or less,,,59,11,16,4-4-2,22,10,"41. Rice, 19. Trossard, 15. Kiwior, 5. Partey",
846,Ball in play,5971.099045,5997.060376,Own third,Left flank,Middle third,Right flank,Long,10-14,,,22,10,25,5-4-1,46,4,"21. Taylor, 30. Ramsdale, 15. Wood, 4. Downes, 18. Mateus Fernandes, 16. Sugawara",
847,Southampton - Possessions,5971.099045,5997.060376,Own third,Left flank,Middle third,Right flank,Long,10-14,,,22,10,25,5-4-1,46,4,"21. Taylor, 30. Ramsdale, 15. Wood, 4. Downes, 18. Mateus Fernandes, 16. Sugawara",
848,Ball in play,6020.658079,6024.80852,Middle third,Right flank,Final third,Center,Short,4 or less,,,61,61,2,5-4-1,9,33,30. Ramsdale,
849,Southampton - Possessions,6020.658079,6024.80852,Middle third,Right flank,Final third,Center,Short,4 or less,,,61,61,2,5-4-1,9,33,30. Ramsdale,
850,Southampton - Set Pieces,6020.658079,6024.80852,Middle third,Right flank,Final third,Center,Short,4 or less,,,61,61,2,5-4-1,9,33,30. Ramsdale,
851,Southampton - Free kicks,6020.658079,6024.80852,Middle third,Right flank,Final third,Center,Short,4 or less,,,61,61,2,5-4-1,9,33,30. Ramsdale,
852,Southampton - Goalkeeper distributions,6020.658079,6024.80852,Middle third,Right flank,Final third,Center,Short,4 or less,,,61,61,2,5-4-1,9,33,30. Ramsdale,
853,Periods,1,2,,,,,,,,,,,,,,,,
854,Periods,2769,2770,,,,,,,,,,,,,,,,
